Time,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Tri11,Tri12,Tri13,Tri21,Tri22,Tri23,Lat,Lon,Alt,SunVect,MagVect,MagRef,SunRef,Roll,Pitch,Yaw,static_q,dynamic_q,"['Solar Panel One Flux (Raw V)', 'Solar Panel Two Flux (Raw V)', 'Solar Panel Three Flux (Raw V)', 'Solar Panel Four Flux (Raw V)']"
17:40:54.89,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.72780100e-01  2.15102261e-02 -4.87639423e-01 -3.45535052e-13],[0. 0. 0. 0.]
17:40:54.90,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.33257896e-01  2.43645547e-02 -5.52347397e-01 -3.91386294e-13],[0. 0. 0. 0.]
17:40:54.93,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.27082247e-01  2.47698227e-02 -5.61534872e-01 -3.97896421e-13],[0. 0. 0. 0.]
17:40:54.96,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26172722e-01  2.48286982e-02 -5.62869585e-01 -3.98842182e-13],[0. 0. 0. 0.]
17:40:54.98,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26039843e-01  2.48372826e-02 -5.63064194e-01 -3.98980079e-13],[0. 0. 0. 0.]
17:40:55.01,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26020453e-01  2.48385349e-02 -5.63092585e-01 -3.99000196e-13],[0. 0. 0. 0.]
17:40:55.03,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017624e-01  2.48387176e-02 -5.63096727e-01 -3.99003131e-13],[0. 0. 0. 0.]
17:40:55.06,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017211e-01  2.48387443e-02 -5.63097331e-01 -3.99003560e-13],[0. 0. 0. 0.]
17:40:55.09,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017151e-01  2.48387482e-02 -5.63097419e-01 -3.99003622e-13],[0. 0. 0. 0.]
17:40:55.12,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017142e-01  2.48387487e-02 -5.63097432e-01 -3.99003631e-13],[0. 0. 0. 0.]
17:40:55.14,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017141e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.17,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.20,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.23,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
